2024-06-29 13:03:46.046 [info] Experiment 'pythonCreateEnvOnPipInstall' is active
2024-06-29 13:03:46.046 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-06-29 13:03:46.047 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-06-29 13:03:46.047 [info] Experiment 'pythonTestAdapter' is active
2024-06-29 13:03:46.154 [info] Default formatter is set to null for workspace /root/proyecto-ps/programacion/contenedor/app/programacion
2024-06-29 13:03:46.239 [info] Python interpreter path: /bin/python3
2024-06-29 13:03:49.665 [info] > pyenv which python
2024-06-29 13:03:49.665 [info] cwd: .
2024-06-29 13:03:54.691 [info] Starting Pylance language server.
2024-06-29 13:04:29.380 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:05:10.815 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:05:13.202 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:05:24.372 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:16:10.182 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:16:21.386 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:16:33.067 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:22:47.795 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:22:53.945 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:25:58.685 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:28:17.438 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:33:11.146 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:52:51.909 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:57:32.365 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 13:58:17.877 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 14:15:37.785 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 14:23:18.224 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 14:34:12.347 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 14:34:19.069 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-29 14:35:37.439 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/urls.py
