2024-06-30 09:35:32.560 [info] Experiment 'pythonCreateEnvOnPipInstall' is active
2024-06-30 09:35:32.560 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-06-30 09:35:32.560 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-06-30 09:35:32.560 [info] Experiment 'pythonTestAdapter' is active
2024-06-30 09:35:32.653 [info] Default formatter is set to null for workspace /root/proyecto-ps/programacion/contenedor/app/programacion
2024-06-30 09:35:32.705 [info] Python interpreter path: /bin/python3
2024-06-30 09:35:32.891 [info] > pyenv which python
2024-06-30 09:35:32.891 [info] cwd: .
2024-06-30 09:35:36.492 [info] Starting Pylance language server.
2024-06-30 09:42:08.036 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:43:54.771 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 09:44:02.738 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 09:45:48.906 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:45:49.480 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:46:17.148 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 09:48:36.601 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:49:41.211 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:50:21.243 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:50:24.133 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 09:58:34.618 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 09:58:35.425 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 10:02:14.332 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
2024-06-30 10:02:51.507 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 10:02:52.352 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 10:03:24.662 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/views.py
2024-06-30 10:05:08.936 [info] Discover tests for workspace name: programacion - uri: /root/proyecto-ps/programacion/contenedor/app/programacion/scripts/scripts.py
